,DirichletModel_MultimodalClassifier_dc
1011,3.6568928
1012,3.6568928
1013,3.6568928
1014,3.6568928
1015,3.6568928
1016,3.6568928
1017,3.6568928
1018,3.6568928
1019,3.6568928
1020,3.6568928
1021,3.6568928
1022,3.6568928
1023,3.6568928
1024,3.6568928
1025,3.6568928
1026,3.6568928
1027,3.6568928
1028,3.6568928
1029,3.6568928
1030,3.6568928
1031,3.6568928
1032,3.6568928
1033,3.6568928
1034,3.6568928
1035,3.6568928
1036,3.6568928
1037,3.6568928
1038,3.6568928
1039,3.6568928
1040,3.6568928
1041,3.6568928
1042,3.6568928
1043,3.6568928
1044,3.6568928
1045,3.6568928
1046,3.6568928
1047,3.6568928
1048,3.6568928
1049,3.6568928
1050,3.6568928
1051,3.6568928
1052,3.6568928
1053,3.6568928
1054,3.6568928
1055,3.6568928
1056,3.6568928
1057,3.6568928
1058,3.6568928
1059,3.6568928
1060,3.6568928
1061,3.6568928
1062,3.6568928
1063,3.6568928
1064,3.6568928
1065,3.6568928
1066,3.6568928
1067,3.6568928
1068,3.6568928
1069,3.6568928
1070,3.6568928
1071,3.6568928
1072,3.6568928
1073,3.6568928
1074,3.6568928
1075,3.6568928
1076,3.6568928
1077,3.6568928
1078,3.6568928
1079,3.6568928
1080,3.6568928
1081,3.6568928
1082,3.6568928
1083,3.6568928
1084,3.6568928
1085,3.6568928
1086,3.6568928
1087,3.6568928
1088,3.6568928
1089,3.6568928
1090,3.6568928
1091,3.6568928
1092,3.6568928
1093,3.6568928
1094,3.6568928
1095,3.6568928
1096,3.6568928
1097,3.6568928
1098,3.6568928
1099,3.6568928
1100,3.6568928
1101,3.6568928
1102,3.6568928
1103,3.6568928
1104,3.6568928
1105,3.6568928
1106,3.6568928
1107,3.6568928
1108,3.6568928
1109,3.6568928
1110,3.6568928
1111,3.6568928
1112,3.6568928
1113,3.6568928
1114,3.6568928
1115,3.6568928
1116,3.6568928
1117,3.6568928
1118,3.6568928
1119,3.6568928
1120,3.6568928
1121,3.6568928
1122,3.6568928
1123,3.6568928
1124,3.6568928
1125,3.6568928
1126,3.6568928
1127,3.6568928
1128,3.6568928
1129,3.6568928
1130,3.6568928
1131,3.6568928
1132,3.6568928
1133,3.6568928
1134,3.6568928
1135,3.6568928
1136,3.6568928
1137,3.6568928
1138,3.6568928
1139,3.6568928
1140,3.6568928
1141,3.6568928
1142,3.6568928
1143,3.6568928
1144,3.6568928
1145,3.6568928
1146,3.6568928
1147,3.6568928
1148,3.6568928
1149,3.6568928
1150,3.6568928
1151,3.6568928
1152,3.6568928
1153,3.6568928
1154,3.6568928
1155,3.6568928
1156,3.6568928
1157,3.6568928
1158,3.6568928
1159,3.6568928
1160,3.6568928
1161,3.6568928
1162,3.6568928
1163,3.6568928
1164,3.6568928
1165,3.6568928
1166,3.6568928
1167,3.6568928
1168,3.6568928
1169,3.6568928
1170,3.6568928
1171,3.6568928
1172,3.6568928
1173,3.6568928
1174,3.6568928
1175,3.6568928
1176,3.6568928
1177,3.6568928
1178,3.6568928
1179,3.6568928
1180,3.6568928
1181,3.6568928
1182,3.6568928
1183,3.6568928
1184,3.6568928
1185,3.6568928
1186,3.6568928
1187,3.6568928
1188,3.6568928
1189,3.6568928
1190,3.6568928
1191,3.6568928
1192,3.6568928
1193,3.6568928
1194,3.6568928
1195,3.6568928
1196,3.6568928
1197,3.6568928
1198,3.6568928
1199,3.6568928
1200,3.6568928
1201,3.6568928
1202,3.6568928
1203,3.6568928
1204,3.6568928
1205,3.6568928
1206,3.6568928
1207,3.6568928
1208,3.6568928
1209,3.6568928
1210,3.6568928
1211,3.6568928
1212,3.6568928
1213,3.6568928
